City,State,Institution,Transfer Course ID,Transfer Course Name,RPI Course ID,RPI Course Name,Note,Begin,End,Transfer Catalog
Richardson,TX,The University Of Texas At Dallas,CHEM 2125,Introductory Organic Chemistry Laboratory II,CHEM 2240,Organic Chemistry Laboratory II,,,,University Of Texas At Dallas Undergraduate
Dryden,NY,Tompkins-Cortland Community College,CHEM206,Organic Chemistry II,CHEM 2240 + CHEM 2260,Organic Chemistry Laboratory II + Organic Chemistry II,,,,Tompkins Cortland Community College (TC3)
Medford,MA,Tufts University,CHEM 0054,Organic Chemistry II Lab,CHEM 2240,Organic Chemistry Laboratory II,,,,Tufts University Course Descriptions
Schenectady,NY,Union College,CHM 232,Organic Chemistry 2,CHEM 2240 + CHEM 2260,Organic Chemistry Laboratory II + Organic Chemistry II,,,,Union College
Buffalo,NY,"University At Buffalo, State University Of New York",CHE 202,Organic Chemistry II,CHEM 2240 + CHEM 2260,Organic Chemistry Laboratory II + Organic Chemistry II,,,,SUNY University At Buffalo Undergraduate
Orono,ME,University Of Maine,CHY 254,Organic Chemistry Laboratory II,CHEM 2240,Organic Chemistry Laboratory II,,,,University Of Maine Undergraduate
Florence,AL,University Of North Alabama,CH 312L,Organic Chemistry Laboratory,CHEM 2240,Organic Chemistry Laboratory II,,,,University Of North Alabama Undergraduate
Saint Paul,MN,University Of Northwestern St. Paul,CHE3101 + CHE3101L + CHE3102 + CHE3102L,Organic Chemistry I + Organic Chemistry I + Organic Chemistry II + Organic Chemistry II,CHEM 2230 + CHEM 2240 + CHEM 2250 + CHEM 2260,Organic Chemistry Laboratory I + Organic Chemistry Laboratory II + Organic Chemistry I + Organic Chemistry II,,,,University Of Northwestern Traditional Undergraduate & Dual Enrollment
Notre Dame,IN,University Of Notre Dame,CHEM 236 + CHEM 236L,Organic Chemistry M II + Organic Chemistry M Laboratory II,CHEM 2240 + CHEM 2260,Organic Chemistry Laboratory II + Organic Chemistry II,,,,University Of Notre Dame Undergraduate
Pittsburgh,PA,University Of Pittsburgh-Main Campus,CHEM 0310 + CHEM 0320 + CHEM 0345,Organic Chemistry 1 + Organic Chemistry 2 + Organic Laboratory,CHEM 2230 + CHEM 2240 + CHEM 2250 + CHEM 2260,Organic Chemistry Laboratory I + Organic Chemistry Laboratory II + Organic Chemistry I + Organic Chemistry II,,,,University Of Pittsburgh Undergraduate
Knoxville,TN,University Of Tennessee,CHEM 369,"Organic Chemistry Laboratory – Preprofessional, Non-Chemistry Majors",CHEM 2230 + CHEM 2240,Organic Chemistry Laboratory I + Organic Chemistry Laboratory II,,,,University Of Tennessee Knoxville Undergraduate
Burlington,VT,University Of Vermont And State Agricultural College,CHEM 142,Organic Chemistry 2,CHEM 2240 + CHEM 2260,Organic Chemistry Laboratory II + Organic Chemistry II,,,,University Of Vermont Undergraduate
Madison,WI,University Of Wisconsin-Madison,CHEM 343 + CHEM 344 + CHEM 345 + CHEM 345,Introductory Organic Chemistry + Introductory Organic Chemistry Laboratory + Intermediate Organic Chemistry + Intermediate Organic Chemistry,CHEM 2230 + CHEM 2240 + CHEM 2250 + CHEM 2260,Organic Chemistry Laboratory I + Organic Chemistry Laboratory II + Organic Chemistry I + Organic Chemistry II,,,,University Of Wisconsin Madison Course Descriptions
Utica,NY,Utica University,CHE 332,Organic Chemistry II,CHEM 2240 + CHEM 2260,Organic Chemistry Laboratory II + Organic Chemistry II,,,,Utica University Winter/Spring Undergraduate
Staten Island,NY,Wagner College,CH 212L,Organic Chemistry II Laboratory,CHEM 2240,Organic Chemistry Laboratory II,,,,Wagner College Undergraduate And Graduate
Worcester,MA,Worcester State University,CH-204,Organic Chemistry Laboratory II,CHEM 2240,Organic Chemistry Laboratory II,,,,Worcester State University
