City,State,Institution,Transfer Course ID,Transfer Course Name,RPI Course ID,RPI Course Name,Note,Begin,End,Transfer Catalog
Knoxville,TN,Pellissippi State Community College,PHIL 2400,Introduction To Ethics,PHIL 2000,Philosophy Elective,,,,Pellissippi State Community College
Portland,OR,Portland Community College,PHL 202,Ethics,PHIL 2000,Philosophy Elective,,,,Portland Community College
West Lafayette,IN,Purdue University-Main Campus,PHIL 206,Philosophy Of Religion,PHIL 2000,Philosophy Elective,,,,Purdue University Courses - West Lafayette
Worcester,MA,Quinsigamond Community College,PHI 250,Special Topics In Philosophy,PHIL 2000,Philosophy Elective,,,,Quinsigamond Community College
Sewell,NJ,Rowan College Of South Jersey,PHI 104,Ethics,PHIL 2000,Philosophy Elective,,,,Rowan College Of South Jersey Gloucester Campus
Troy,NY,Russell Sage College,PHL 211,"Myth, Religion And Art",PHIL 2000,Philosophy Elective,,,,Russell Sage College
New Brunswick,NJ,Rutgers University-New Brunswick,730:201,Introductory Logic,PHIL 2000,Philosophy Elective,,,,Rutgers University Douglass College
Sacramento,CA,Sacramento City College,PHIL 310,Introduction To Ethics,PHIL 2000,Philosophy Elective,,,,Sacramento City College
Fairfield,CT,Sacred Heart University,PH 221,Historical Development Of Philosophy,PHIL 2000,Philosophy Elective,,,,Sacred Heart University Undergraduate
Fairfield,CT,Sacred Heart University,PH 231,Introduction To The Philosophy Of Knowledge,PHIL 2000,Philosophy Elective,,,,Sacred Heart University Undergraduate
Staten Island,NY,Saint John's University - Staten Island Campus,PHI 2200C,Ethics,PHIL 2000,Philosophy Elective,,,,St. Johns University
Staten Island,NY,Saint John's University - Staten Island Campus,PHI 2240C,Ethics And Health Care,PHIL 2000,Philosophy Elective,,,,St. Johns University
Northfield,MN,Saint Olaf College,REL 121,Bible In Culture And Community,PHIL 2000,Philosophy Elective,,,,Saint Olaf College
San Francisco,CA,San Francisco State University,PHIL 130,Political And Social Philosophy,PHIL 2000,Philosophy Elective,,,,San Francisco State University
San Jose,CA,San Jose State University,RELS 70B,Eastern Religions,PHIL 2000,Philosophy Elective,,,,San Jose State University
Santa Clara,CA,Santa Clara University,PHIL 1A,Critical Thinking & Writing I,PHIL 2000,Philosophy Elective,,,,Santa Clara University Undergraduate
Santa Clara,CA,Santa Clara University,TESP 4,The Christian Tradition,PHIL 2000,Philosophy Elective,,,,Santa Clara University Undergraduate
